ID,team_position,is_captain,is_vice_captain,multiplier,manager_id,gameweek,minutes,goals_scored,assists,bonus,clean_sheets,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,player_name
413,1,False,False,1,295362,1,90,0,0,2,1,0.0,0.0,0.0,1.77,9,Nick Pope
350,2,False,False,1,295362,1,90,0,0,1,1,0.03,0.02,0.05,1.01,7,Joško Gvardiol
361,3,False,False,1,295362,1,90,0,0,0,1,0.0,0.0,0.0,1.01,6,Rúben dos Santos Gato Alves Dias
200,4,False,False,1,295362,1,90,0,0,0,0,0.0,0.02,0.02,1.59,0,Marc Guéhi
415,5,False,False,1,295362,1,27,0,0,0,0,0.04,0.0,0.04,0.2,-2,Fabian Schär
503,6,False,False,1,295362,1,90,0,0,0,0,0.03,0.3,0.33,0.96,2,Son Heung-min
317,7,False,False,1,295362,1,78,1,0,0,1,0.95,0.04,0.99,0.41,8,Diogo Teixeira da Silva
9,8,False,False,1,295362,1,90,0,0,0,1,0.08,0.19,0.27,0.47,3,Gabriel Martinelli Silva
181,9,False,False,1,295362,1,57,0,0,0,0,0.15,0.06,0.21,0.66,1,Christopher Nkunku
401,10,False,False,1,295362,1,90,0,1,0,1,0.0,0.08,0.08,1.77,5,Alexander Isak
82,11,False,False,1,295362,1,90,0,0,0,0,0.34,0.15,0.49,1.02,2,Dominic Solanke-Mitchell
47,12,False,False,1,295362,1,90,0,0,0,0,0.0,0.0,0.0,2.46,3,Emiliano Martínez Romero
578,13,False,False,1,295362,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,Riccardo Calafiori
589,14,False,False,1,295362,1,17,0,0,0,0,0.0,0.0,0.0,0.27,1,Niclas Füllkrug
182,15,False,False,1,295362,1,90,0,0,0,0,0.07,0.19,0.26,0.77,2,Cole Palmer
347,1,False,False,1,302714,1,90,0,0,1,1,0.0,0.0,0.0,1.01,8,Ederson Santana de Moraes
18,2,False,False,1,302714,1,90,0,0,0,1,0.0,0.0,0.0,0.47,6,William Saliba
339,3,False,False,1,302714,1,90,0,0,0,1,0.0,0.01,0.01,0.45,6,Virgil van Dijk
6,4,False,False,1,302714,1,21,0,0,0,0,0.02,0.01,0.03,0.15,1,Jurriën Timber
210,5,False,False,1,302714,1,90,0,0,0,0,0.12,0.03,0.15,1.59,1,Tyrick Mitchell
328,6,False,False,1,302714,1,90,1,1,3,1,0.7,0.15,0.85,0.45,14,Mohamed Salah
525,7,False,False,1,302714,1,90,0,0,0,0,0.08,0.47,0.55,2.03,2,Mohammed Kudus
372,8,False,False,1,302714,1,29,0,1,0,0,0.68,0.09,0.77,0.23,4,Alejandro Garnacho Ferreyra
342,9,False,False,1,302714,1,90,0,1,0,1,0.13,0.2,0.33,1.01,6,Bernardo Mota Veiga de Carvalho e Silva
207,10,False,False,1,302714,1,45,0,0,0,0,0.0,0.01,0.01,0.5,1,Jean-Philippe Mateta
321,11,False,False,1,302714,1,11,0,0,0,0,0.0,0.0,0.0,0.04,0,Cody Gakpo
248,12,False,False,1,302714,1,90,0,0,0,0,0.0,0.0,0.0,2.43,3,Bernd Leno
360,13,False,False,1,302714,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,Rodrigo 'Rodri' Hernandez Cascante
108,14,False,False,1,302714,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,Ivan Toney
341,15,False,False,1,302714,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,Nathan Aké
310,1,False,False,1,307954,1,90,0,0,1,1,0.0,0.0,0.0,0.45,7,Alisson Becker
311,2,False,False,1,307954,1,76,0,0,2,1,0.06,1.0,1.06,0.41,8,Trent Alexander-Arnold
3,3,False,False,1,307954,1,90,0,0,0,1,0.12,0.02,0.14,0.47,6,Gabriel dos Santos Magalhães
369,4,False,False,1,307954,1,90,0,0,1,1,0.0,0.02,0.02,0.44,7,Diogo Dalot Teixeira
326,5,False,False,1,307954,1,45,0,0,0,0,0.0,0.0,0.0,0.15,1,Ibrahima Konaté
366,6,False,False,1,307954,1,90,0,0,0,1,1.19,0.03,1.22,0.44,3,Bruno Borges Fernandes
327,7,False,False,1,307954,1,90,0,0,0,1,0.46,0.38,0.84,0.45,3,Luis Díaz Marulanda
385,8,False,False,1,307954,1,90,0,0,0,1,0.0,0.11,0.11,0.44,3,Marcus Rashford
345,9,False,False,1,307954,1,90,0,0,0,1,0.07,0.32,0.39,1.01,3,Kevin De Bruyne
447,10,False,False,1,307954,1,71,1,0,3,1,0.71,0.02,0.73,0.63,9,Chris Wood
4,11,False,False,1,307954,1,90,1,1,3,1,0.45,0.04,0.49,0.47,12,Kai Havertz
508,12,False,False,1,307954,1,90,0,0,0,0,0.0,0.0,0.0,1.02,2,Guglielmo Vicario
492,13,False,False,1,307954,1,11,0,0,0,0,0.0,0.17,0.17,0.12,1,Dejan Kulusevski
268,14,False,False,1,307954,1,73,0,0,0,0,0.0,0.0,0.0,2.07,2,Liam Delap
363,15,False,False,1,307954,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,Kyle Walker
15,1,False,False,1,318423,1,90,0,0,1,1,0.0,0.0,0.0,0.47,8,David Raya Martín
24,2,False,False,1,318423,1,90,0,0,0,1,0.07,0.06,0.13,0.47,6,Benjamin White
495,3,False,False,1,318423,1,90,1,0,1,0,0.09,0.32,0.41,0.96,9,Pedro Porro Sauceda
335,4,False,False,1,318423,1,78,0,0,0,1,0.0,0.13,0.13,0.41,6,Andrew Robertson
399,5,False,False,1,318423,1,69,0,0,0,1,0.0,0.02,0.02,1.33,5,Lewis Hall
348,6,False,False,1,318423,1,45,0,0,0,0,0.0,0.01,0.01,0.72,1,Phil Foden
13,7,False,False,1,318423,1,90,0,0,0,1,0.02,0.06,0.08,0.47,3,Martin Ødegaard
494,8,False,False,1,318423,1,78,0,1,0,0,0.02,0.98,1.0,0.9,5,James Maddison
398,9,False,False,1,318423,1,69,0,0,0,1,0.0,0.02,0.02,1.33,3,Anthony Gordon
351,10,False,False,1,318423,1,90,1,0,2,1,0.28,0.0,0.28,1.01,7,Erling Haaland
180,11,False,False,1,318423,1,65,0,0,0,0,0.47,0.06,0.53,0.66,2,Nicolas Jackson
235,12,False,False,1,318423,1,90,0,0,0,0,0.0,0.02,0.02,1.43,1,Jordan Pickford
136,13,False,False,1,318423,1,88,1,0,0,1,0.97,0.04,1.01,0.45,8,Mitoma Kaoru
497,14,False,False,1,318423,1,1,0,0,0,0,0.19,0.0,0.19,0.06,1,Richarlison de Andrade
45,15,False,False,1,318423,1,16,0,0,0,0,0.0,0.04,0.04,1.06,1,Ian Maatsen
91,1,False,False,1,319681,1,90,0,0,0,0,0.0,0.0,0.0,1.17,4,Mark Flekken
395,2,False,False,1,319681,1,90,0,0,0,1,0.0,0.0,0.0,1.77,5,Dan Burn
44,3,False,False,1,319681,1,90,0,0,0,0,0.07,0.01,0.08,2.46,2,Ezri Konsa Ngoyo
211,4,False,False,1,319681,1,90,0,1,0,0,0.0,0.02,0.02,1.59,4,Daniel Muñoz Mejía
17,5,False,False,1,319681,1,79,1,1,2,1,0.35,0.37,0.72,0.32,12,Bukayo Saka
514,6,False,False,1,319681,1,72,0,0,0,0,0.0,0.07,0.07,1.76,2,Jarrod Bowen
199,7,False,False,1,319681,1,90,0,0,0,0,0.41,0.05,0.46,1.59,2,Eberechi Eze
433,8,False,False,1,319681,1,90,0,0,0,0,0.1,0.07,0.17,1.22,2,Morgan Gibbs-White
99,9,False,False,1,319681,1,89,1,0,2,0,0.09,0.45,0.54,1.17,9,Bryan Mbeumo
58,10,False,False,1,319681,1,61,0,0,0,0,0.0,0.0,0.0,1.28,2,Ollie Watkins
251,11,False,False,1,319681,1,77,0,0,0,1,0.11,0.0,0.11,1.57,2,Rodrigo Muniz Carvalho
383,12,False,False,1,319681,1,90,0,0,0,1,0.0,0.0,0.0,0.44,6,André Onana
418,13,False,False,1,319681,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,Kieran Trippier
316,14,False,False,1,319681,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,Darwin Núñez Ribeiro
244,15,False,False,1,319681,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,Timothy Castagne
413,1,False,False,1,295362,2,90,0,0,0,0,0.0,0.0,0.0,2.23,3,Nick Pope
350,2,False,False,1,295362,2,90,0,0,0,0,0.0,0.04,0.04,0.29,2,Joško Gvardiol
361,3,False,False,1,295362,2,90,0,0,0,0,0.0,0.05,0.05,0.29,1,Rúben dos Santos Gato Alves Dias
163,4,False,False,1,295362,2,82,0,0,0,0,0.0,0.18,0.18,1.8,0,Marc Cucurella Saseta
503,5,False,False,1,295362,2,90,2,0,3,1,1.14,0.05,1.19,1.0,16,Son Heung-min
317,6,False,False,1,295362,2,71,0,1,0,1,0.59,0.06,0.65,0.36,6,Diogo Teixeira da Silva
182,7,False,False,1,295362,2,82,1,3,2,0,0.67,0.15,0.82,1.8,17,Cole Palmer
9,8,False,False,1,295362,2,64,0,0,0,1,0.0,0.41,0.41,1.12,3,Gabriel Martinelli Silva
233,9,False,False,1,295362,2,75,0,0,0,0,0.11,0.01,0.12,0.49,1,Amadou Onana
110,10,False,False,1,295362,2,72,0,0,0,0,0.0,0.01,0.01,2.52,2,Yoane Wissa
401,11,False,False,1,295362,2,90,0,0,0,0,0.26,0.03,0.29,2.23,2,Alexander Isak
47,12,False,False,1,295362,2,90,0,0,0,0,0.0,0.0,0.0,0.87,1,Emiliano Martínez Romero
25,13,False,False,1,295362,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,Oleksandr Zinchenko
82,14,False,False,1,295362,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,Dominic Solanke-Mitchell
415,15,False,False,1,295362,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,Fabian Schär
347,1,False,False,1,302714,2,90,0,0,0,0,0.0,0.0,0.0,0.29,2,Ederson Santana de Moraes
505,2,False,False,1,302714,2,72,0,0,0,1,0.0,0.01,0.01,1.0,6,Destiny Udogie
339,3,False,False,1,302714,2,90,0,0,1,1,0.02,0.01,0.03,0.36,7,Virgil van Dijk
355,4,False,False,1,302714,2,90,0,0,0,0,0.53,0.06,0.59,0.29,2,Rico Lewis
328,5,False,False,1,302714,2,82,1,0,2,1,0.5,0.25,0.75,0.36,10,Mohamed Salah
525,6,False,False,1,302714,2,87,0,0,0,1,0.08,0.16,0.24,1.32,3,Mohammed Kudus
372,7,False,False,1,302714,2,25,0,0,0,0,0.71,0.06,0.77,0.76,1,Alejandro Garnacho Ferreyra
342,8,False,False,1,302714,2,90,0,0,0,0,0.11,0.07,0.18,0.29,2,Bernardo Mota Veiga de Carvalho e Silva
570,9,False,False,1,302714,2,90,0,0,0,0,0.06,0.0,0.06,1.78,2,Abdul Fatawu
207,10,False,False,1,302714,2,90,0,0,0,0,0.3,0.23,0.53,1.39,2,Jean-Philippe Mateta
306,11,False,False,1,302714,2,70,0,0,0,0,0.0,0.0,0.0,1.74,2,Jamie Vardy
248,12,False,False,1,302714,2,90,0,0,0,0,0.0,0.0,0.0,0.61,3,Bernd Leno
148,13,False,False,1,302714,2,78,1,0,3,0,1.11,0.02,1.13,1.32,9,Danny Welbeck
18,14,False,False,1,302714,2,90,0,0,0,1,0.0,0.01,0.01,1.28,6,William Saliba
210,15,False,False,1,302714,2,90,0,0,0,0,0.0,0.08,0.08,1.39,1,Tyrick Mitchell
310,1,False,False,1,307954,2,90,0,0,0,1,0.0,0.0,0.0,0.36,6,Alisson Becker
311,2,False,False,1,307954,2,71,0,0,0,1,0.1,0.53,0.63,0.36,6,Trent Alexander-Arnold
3,3,False,False,1,307954,2,90,0,0,1,1,0.0,0.02,0.02,1.28,6,Gabriel dos Santos Magalhães
340,4,False,False,1,307954,2,90,0,0,0,0,0.0,0.16,0.16,0.29,2,Manuel Akanji
492,5,False,False,1,307954,2,66,0,1,0,1,0.0,0.11,0.11,1.0,6,Dejan Kulusevski
366,6,False,False,1,307954,2,78,0,0,0,0,0.07,0.73,0.8,1.5,2,Bruno Borges Fernandes
327,7,False,False,1,307954,2,71,1,1,3,1,0.87,0.17,1.04,0.36,14,Luis Díaz Marulanda
385,8,False,False,1,307954,2,64,0,0,0,0,0.0,0.01,0.01,1.33,2,Marcus Rashford
345,9,False,False,1,307954,2,89,1,1,2,0,0.81,0.65,1.46,0.29,12,Kevin De Bruyne
447,10,False,False,1,307954,2,74,0,0,0,1,0.24,0.09,0.33,0.14,1,Chris Wood
4,11,False,False,1,307954,2,90,0,0,0,1,0.21,0.03,0.24,1.28,2,Kai Havertz
508,12,False,False,1,307954,2,90,0,0,0,1,0.0,0.0,0.0,1.0,6,Guglielmo Vicario
268,13,False,False,1,307954,2,82,0,0,0,0,0.0,0.01,0.01,3.3,2,Liam Delap
326,14,False,False,1,307954,2,90,0,0,1,1,0.19,0.02,0.21,0.36,7,Ibrahima Konaté
369,15,False,False,1,307954,2,90,0,0,0,0,0.02,0.05,0.07,2.09,1,Diogo Dalot Teixeira
15,1,False,False,1,318423,2,90,0,0,3,1,0.0,0.0,0.0,1.28,10,David Raya Martín
24,2,False,False,1,318423,2,90,0,0,0,1,0.0,0.02,0.02,1.28,6,Benjamin White
495,3,False,False,1,318423,2,90,0,0,0,1,0.03,0.11,0.14,1.0,6,Pedro Porro Sauceda
335,4,False,False,1,318423,2,90,0,0,0,1,0.3,0.19,0.49,0.36,6,Andrew Robertson
399,5,False,False,1,318423,2,21,0,0,0,0,0.0,0.1,0.1,0.42,1,Lewis Hall
136,6,False,False,1,318423,2,89,0,1,1,0,0.0,0.58,0.58,1.32,6,Mitoma Kaoru
13,7,False,False,1,318423,2,90,0,0,0,1,0.26,0.6,0.86,1.28,2,Martin Ødegaard
494,8,False,False,1,318423,2,78,0,1,0,1,0.41,0.38,0.79,1.0,6,James Maddison
398,9,False,False,1,318423,2,88,1,0,3,0,0.65,0.38,1.03,2.15,10,Anthony Gordon
351,10,False,False,1,318423,2,89,3,0,3,0,1.79,0.04,1.83,0.29,17,Erling Haaland
389,11,False,False,1,318423,2,45,0,0,0,0,0.0,0.03,0.03,1.28,1,Joshua Zirkzee
235,12,False,False,1,318423,2,90,0,0,0,0,0.0,0.0,0.0,2.43,1,Jordan Pickford
348,13,False,False,1,318423,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,Phil Foden
497,14,False,False,1,318423,2,24,0,0,0,0,0.0,0.0,0.0,0.0,1,Richarlison de Andrade
45,15,False,False,1,318423,2,14,0,0,0,0,0.0,0.09,0.09,0.38,1,Ian Maatsen
383,1,False,False,1,319681,2,90,0,0,0,0,0.0,0.0,0.0,2.09,1,André Onana
211,2,False,False,1,319681,2,90,0,0,0,0,0.0,0.02,0.02,1.39,1,Daniel Muñoz Mejía
395,3,False,False,1,319681,2,90,0,0,0,0,0.28,0.01,0.29,2.23,1,Dan Burn
380,4,False,False,1,319681,2,90,0,0,0,0,0.0,0.19,0.19,2.09,1,Lisandro Martínez
17,5,False,False,1,319681,2,87,0,1,0,1,0.05,0.1,0.15,1.25,6,Bukayo Saka
514,6,False,False,1,319681,2,90,1,0,0,1,0.1,0.25,0.35,1.35,8,Jarrod Bowen
199,7,False,False,1,319681,2,90,0,0,0,0,0.45,0.17,0.62,1.39,2,Eberechi Eze
99,8,False,False,1,319681,2,90,0,0,0,0,0.03,0.12,0.15,2.65,1,Bryan Mbeumo
251,9,False,False,1,319681,2,79,0,0,0,0,0.58,0.01,0.59,0.46,2,Rodrigo Muniz Carvalho
58,10,False,False,1,319681,2,64,0,0,0,1,0.87,0.0,0.87,0.36,2,Ollie Watkins
316,11,False,False,1,319681,2,18,0,0,0,0,0.0,0.0,0.0,0.0,1,Darwin Núñez Ribeiro
91,12,False,False,1,319681,2,90,0,0,0,0,0.0,0.0,0.0,2.65,3,Mark Flekken
433,13,False,False,1,319681,2,90,1,0,2,1,0.47,0.02,0.49,0.14,10,Morgan Gibbs-White
418,14,False,False,1,319681,2,32,0,0,0,0,0.0,0.02,0.02,1.07,1,Kieran Trippier
44,15,False,False,1,319681,2,90,0,0,0,0,0.0,0.01,0.01,0.87,1,Ezri Konsa Ngoyo
47,1,False,False,1,295362,3,90,0,0,0,0,0.0,0.0,0.0,0.45,2,Emiliano Martínez Romero
350,2,False,False,1,295362,3,87,0,0,0,0,0.1,0.45,0.55,0.64,2,Joško Gvardiol
361,3,False,False,1,295362,3,90,0,0,0,0,0.28,0.02,0.3,0.73,0,Rúben dos Santos Gato Alves Dias
52,4,False,False,1,295362,3,90,0,0,0,0,0.0,0.0,0.0,0.45,2,Pau Torres
255,5,False,False,1,295362,3,90,0,1,0,0,0.0,0.06,0.06,0.45,4,Antonee Robinson
182,6,False,False,1,295362,3,90,0,1,2,0,0.11,0.7,0.81,0.44,6,Cole Palmer
503,7,False,False,1,295362,3,90,0,0,1,0,0.1,0.18,0.28,1.57,3,Son Heung-min
317,8,False,False,1,295362,3,75,0,0,0,1,0.07,0.01,0.08,0.83,3,Diogo Teixeira da Silva
9,9,False,False,1,295362,3,16,0,0,0,0,0.0,0.0,0.0,0.65,1,Gabriel Martinelli Silva
233,10,False,False,1,295362,3,61,1,0,2,1,0.45,0.03,0.48,0.17,9,Amadou Onana
110,11,False,False,1,295362,3,90,1,0,2,0,1.09,0.25,1.34,1.57,8,Yoane Wissa
413,12,False,False,1,295362,3,90,0,0,0,0,0.0,0.0,0.0,1.26,4,Nick Pope
401,13,False,False,1,295362,3,90,1,0,3,0,1.0,0.01,1.01,1.26,9,Alexander Isak
163,14,False,False,1,295362,3,90,0,0,0,0,0.0,0.01,0.01,0.44,2,Marc Cucurella Saseta
82,15,False,False,1,295362,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0,Dominic Solanke-Mitchell
347,1,False,False,1,302714,3,90,0,0,0,0,0.0,0.0,0.0,0.73,2,Ederson Santana de Moraes
245,2,False,False,1,302714,3,90,0,0,0,0,0.17,0.01,0.18,0.45,2,Issa Diop
18,3,False,False,1,302714,3,90,0,0,0,0,0.0,0.01,0.01,1.83,2,William Saliba
355,4,False,False,1,302714,3,90,0,1,1,0,0.09,0.09,0.18,0.73,6,Rico Lewis
328,5,False,False,1,302714,3,90,1,2,3,1,0.5,0.63,1.13,1.36,17,Mohamed Salah
78,6,False,False,1,302714,3,90,1,0,0,0,0.5,0.03,0.53,1.97,6,Antoine Semenyo
342,7,False,False,1,302714,3,90,0,1,2,0,0.29,0.5,0.79,0.73,7,Bernardo Mota Veiga de Carvalho e Silva
83,8,False,False,1,302714,3,90,0,0,0,0,0.66,0.22,0.88,1.97,2,Marcus Tavernier
177,9,False,False,1,302714,3,85,0,0,0,0,0.59,0.04,0.63,0.25,2,Noni Madueke
207,10,False,False,1,302714,3,68,0,0,0,0,0.02,0.0,0.02,1.87,2,Jean-Philippe Mateta
306,11,False,False,1,302714,3,90,0,0,0,0,0.0,0.02,0.02,1.55,1,Jamie Vardy
248,12,False,False,1,302714,3,90,0,0,0,0,0.0,0.0,0.0,0.45,3,Bernd Leno
148,13,False,False,1,302714,3,84,0,0,0,0,0.1,0.01,0.11,2.08,2,Danny Welbeck
505,14,False,False,1,302714,3,90,0,0,0,0,0.0,0.02,0.02,1.57,1,Destiny Udogie
339,15,False,False,1,302714,3,90,0,0,0,1,0.0,0.03,0.03,1.36,5,Virgil van Dijk
310,1,False,False,1,307954,3,90,0,0,1,1,0.0,0.0,0.0,1.36,8,Alisson Becker
311,2,False,False,1,307954,3,75,0,0,0,1,0.0,0.01,0.01,0.83,6,Trent Alexander-Arnold
3,3,False,False,1,307954,3,90,0,0,0,0,0.12,0.01,0.13,1.83,2,Gabriel dos Santos Magalhães
340,4,False,False,1,307954,3,90,0,0,0,0,0.0,0.04,0.04,0.73,1,Manuel Akanji
492,5,False,False,1,307954,3,90,0,0,0,0,0.08,0.11,0.19,1.57,2,Dejan Kulusevski
366,6,False,False,1,307954,3,90,0,0,0,0,0.02,0.07,0.09,1.73,2,Bruno Borges Fernandes
327,7,False,False,1,307954,3,65,2,0,2,1,0.6,0.01,0.61,0.49,15,Luis Díaz Marulanda
345,8,False,False,1,307954,3,87,0,0,0,0,0.27,0.64,0.91,0.64,1,Kevin De Bruyne
268,9,False,False,1,307954,3,80,1,0,1,0,0.21,0.0,0.21,0.9,7,Liam Delap
447,10,False,False,1,307954,3,90,1,0,3,0,0.47,0.01,0.48,0.74,9,Chris Wood
4,11,False,False,1,307954,3,90,1,0,2,0,0.77,0.05,0.82,1.83,8,Kai Havertz
508,12,False,False,1,307954,3,90,0,0,0,0,0.0,0.0,0.0,1.57,1,Guglielmo Vicario
385,13,False,False,1,307954,3,90,0,0,0,0,0.0,0.59,0.59,1.73,2,Marcus Rashford
326,14,False,False,1,307954,3,90,0,0,0,1,0.04,0.0,0.04,1.36,6,Ibrahima Konaté
369,15,False,False,1,307954,3,90,0,0,0,0,0.0,0.02,0.02,1.73,1,Diogo Dalot Teixeira
15,1,False,False,1,318423,3,90,0,0,0,0,0.0,0.01,0.01,1.83,2,David Raya Martín
24,2,False,False,1,318423,3,90,0,0,0,0,0.04,0.0,0.04,1.83,2,Benjamin White
495,3,False,False,1,318423,3,90,0,0,0,0,0.21,0.17,0.38,1.57,1,Pedro Porro Sauceda
335,4,False,False,1,318423,3,82,0,0,0,1,0.0,0.07,0.07,1.34,6,Andrew Robertson
621,5,False,False,1,318423,3,32,0,0,0,0,0.03,0.01,0.04,0.31,1,João Félix Sequeira
136,6,False,False,1,318423,3,84,0,0,0,0,0.04,0.14,0.18,2.08,2,Mitoma Kaoru
13,7,False,False,1,318423,3,73,0,0,0,0,0.18,0.08,0.26,1.18,2,Martin Ødegaard
494,8,False,False,1,318423,3,81,0,0,0,0,0.07,0.07,0.14,1.57,1,James Maddison
398,9,False,False,1,318423,3,90,0,0,0,0,0.0,0.31,0.31,1.26,2,Anthony Gordon
351,10,False,False,1,318423,3,90,3,0,3,0,1.71,0.11,1.82,0.73,17,Erling Haaland
389,11,False,False,1,318423,3,85,0,0,0,0,0.88,0.02,0.9,1.3,1,Joshua Zirkzee
235,12,False,False,1,318423,3,90,0,0,0,0,0.0,0.0,0.0,2.22,2,Jordan Pickford
399,13,False,False,1,318423,3,22,0,0,0,0,0.0,0.0,0.0,0.27,1,Lewis Hall
180,14,False,False,1,318423,3,90,1,0,1,0,1.34,0.0,1.34,0.44,6,Nicolas Jackson
45,15,False,False,1,318423,3,11,0,0,0,0,0.01,0.0,0.01,0.05,1,Ian Maatsen
91,1,False,False,1,319681,3,90,0,0,0,0,0.0,0.0,0.0,1.57,3,Mark Flekken
44,2,False,False,1,319681,3,90,0,0,0,0,0.0,0.0,0.0,0.45,2,Ezri Konsa Ngoyo
395,3,False,False,1,319681,3,90,0,0,0,0,0.0,0.06,0.06,1.26,0,Dan Burn
36,4,False,False,1,319681,3,90,0,1,2,0,0.0,0.1,0.1,0.45,7,Lucas Digne
17,5,False,False,1,319681,3,90,0,1,1,0,0.95,0.2,1.15,1.83,6,Bukayo Saka
514,6,False,False,1,319681,3,85,0,1,0,0,0.08,0.22,0.3,2.78,5,Jarrod Bowen
433,7,False,False,1,319681,3,90,0,0,0,0,0.13,0.7,0.83,0.74,1,Morgan Gibbs-White
99,8,False,False,1,319681,3,90,2,0,3,0,0.81,0.34,1.15,1.57,14,Bryan Mbeumo
251,9,False,False,1,319681,3,78,0,0,0,0,0.34,0.01,0.35,0.36,2,Rodrigo Muniz Carvalho
58,10,False,False,1,319681,3,60,0,1,0,1,0.71,0.01,0.72,0.17,5,Ollie Watkins
316,11,False,False,1,319681,3,14,0,0,0,0,0.15,0.0,0.15,0.53,1,Darwin Núñez Ribeiro
383,12,False,False,1,319681,3,90,0,0,0,0,0.0,0.0,0.0,1.73,1,André Onana
199,13,False,False,1,319681,3,90,1,0,3,0,0.19,0.06,0.25,2.27,10,Eberechi Eze
380,14,False,False,1,319681,3,90,0,0,0,0,0.34,0.01,0.35,1.73,0,Lisandro Martínez
211,15,False,False,1,319681,3,90,0,0,0,0,0.0,0.26,0.26,2.27,1,Daniel Muñoz Mejía
413,1,False,False,1,295362,4,90,0,0,0,0,0.0,0.0,0.0,0.99,3,Nick Pope
350,2,False,False,1,295362,4,45,0,0,0,0,0.0,0.14,0.14,0.04,1,Joško Gvardiol
361,3,False,False,1,295362,4,6,0,0,0,0,0.0,0.0,0.0,0.04,1,Rúben dos Santos Gato Alves Dias
52,4,False,False,1,295362,4,90,0,0,0,0,0.0,0.04,0.04,0.9,1,Pau Torres
255,5,False,False,1,295362,4,90,0,0,0,0,0.0,0.18,0.18,0.76,2,Antonee Robinson
182,6,False,False,1,295362,4,90,0,0,0,1,0.0,0.03,0.03,1.78,3,Cole Palmer
503,7,False,False,1,295362,4,90,0,0,0,0,0.04,0.13,0.17,0.73,2,Son Heung-min
317,8,False,False,1,295362,4,59,0,0,0,0,0.3,0.0,0.3,0.14,1,Diogo Teixeira da Silva
9,9,False,False,1,295362,4,79,0,0,0,1,0.17,0.14,0.31,0.61,3,Gabriel Martinelli Silva
233,10,False,False,1,295362,4,45,0,0,0,0,0.0,0.03,0.03,0.67,1,Amadou Onana
401,11,False,False,1,295362,4,45,0,0,0,0,0.06,0.16,0.22,0.63,1,Alexander Isak
47,12,False,False,1,295362,4,90,0,0,0,0,0.0,0.0,0.0,0.9,0,Emiliano Martínez Romero
163,13,False,False,1,295362,4,90,0,0,0,1,0.0,0.03,0.03,1.78,5,Marc Cucurella Saseta
110,14,False,False,1,295362,4,45,1,0,2,0,0.34,0.0,0.34,0.68,7,Yoane Wissa
129,15,False,False,1,295362,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0,João Pedro Junqueira de Jesus
347,1,False,False,1,302714,4,90,0,1,1,0,0.0,0.01,0.01,0.96,7,Ederson Santana de Moraes
120,2,False,False,1,302714,4,90,0,0,0,1,0.09,0.01,0.1,0.35,6,Lewis Dunk
339,3,False,False,1,302714,4,90,0,0,0,0,0.14,0.02,0.16,0.44,2,Virgil van Dijk
355,4,False,False,1,302714,4,45,0,0,0,0,0.0,0.02,0.02,0.92,1,Rico Lewis
177,5,False,False,1,302714,4,60,0,0,0,1,0.11,0.0,0.11,1.55,3,Noni Madueke
328,6,False,False,1,302714,4,90,0,0,0,0,0.13,0.13,0.26,0.44,2,Mohamed Salah
78,7,False,False,1,302714,4,90,0,0,0,0,0.1,0.03,0.13,0.78,1,Antoine Semenyo
342,8,False,False,1,302714,4,6,0,0,0,0,0.0,0.0,0.0,0.04,1,Bernardo Mota Veiga de Carvalho e Silva
83,9,False,False,1,302714,4,82,0,0,0,1,0.1,0.26,0.36,0.48,3,Marcus Tavernier
148,10,False,False,1,302714,4,84,0,0,0,1,0.18,0.13,0.31,0.35,2,Danny Welbeck
207,11,False,False,1,302714,4,90,2,0,3,0,1.36,0.01,1.37,1.23,13,Jean-Philippe Mateta
248,12,False,False,1,302714,4,90,0,0,0,0,0.0,0.0,0.0,0.76,2,Bernd Leno
594,13,False,False,1,302714,4,73,0,0,0,1,0.12,0.34,0.46,1.12,6,Noussair Mazraoui
306,14,False,False,1,302714,4,90,1,0,2,0,0.64,0.05,0.69,2.55,8,Jamie Vardy
18,15,False,False,1,302714,4,90,0,0,0,1,0.0,0.01,0.01,0.74,5,William Saliba
310,1,False,False,1,307954,4,90,0,0,0,0,0.0,0.0,0.0,0.44,2,Alisson Becker
311,2,False,False,1,307954,4,90,0,0,0,0,0.02,0.33,0.35,0.44,1,Trent Alexander-Arnold
340,3,False,False,1,307954,4,90,0,0,0,0,0.0,0.07,0.07,0.96,2,Manuel Akanji
326,4,False,False,1,307954,4,74,0,0,0,0,0.0,0.02,0.02,0.25,2,Ibrahima Konaté
